freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,BG41	1130878 	1126165 	1120772 	1114154 	1112404 	1112342 	1110985 	1108449 	1105918 	1106528 	1108293 	1108845 	1092408 	1095865 	1098613 	1100576 	1101794 	1102559 	1102921 	1103822 	1104998 	1105057 	1103761 	1095974 	1091301 	1086557 	1081309 	1076198 	1071128 	1065542 	1060085 	1055448 	1050859 	1049005 	1049700 
A,NR,F,TOTAL,BG42	923088 	907970 	897232 	880165 	880697 	879964 	877783 	874189 	869365 	865228 	862347 	860243 	814664 	806611 	799481 	793085 	786643 	780580 	774453 	768668 	763809 	758546 	754186 	742972 	735262 	727197 	718401 	709842 	700865 	692178 	683016 	681845 	677469 	675122 	676651 
A,NR,F,TOTAL,CH	3416313 	3460226 	3501103 	3534043 	3564707 	3590651 	3613512 	3623725 	3631222 	3644848 	3663736 	3684357 	3711304 	3738824 	3762609 	3786406 	3806626 	3829380 	3866480 	3915181 	3955240 	3992708 b	4032409 	4070536 	4117540 	4163786 	4205655 	4246113 	4277696 	4307406 	4337170 	4367701 	4400588 	4435432 	4510726 
A,NR,F,TOTAL,CH0	3416313 	3452381 	3501103 	3534043 	3564707 	3590651 	3613512 	3623725 	3631222 	3644848 	3663736 	3684357 	3711304 	3738824 	3762609 	3786406 	3806626 	3829380 	3866480 	3915181 	3955240 	3992708 b	4032409 	4070536 	4117540 	4163786 	4205655 	4246113 	4277696 	4307406 	4337170 	4367701 	4400588 	4435432 	4510726 
A,NR,F,TOTAL,CH01	: 	623892 	634787 	641610 	647469 	653569 	658364 	659348 	661808 	665186 	670334 	675825 	681371 	688137 	696211 	703193 	709907 	716474 	725000 	738710 	750571 	760557 b	770220 	777190 	790113 	802402 	813912 	822949 	831061 	837772 	844124 	851116 	858921 	866776 	884513 
A,NR,F,TOTAL,CH02	: 	820833 	829201 	835105 	840469 	835966 	839296 	841242 	841629 	844998 	846196 	848867 	854081 	857734 	860809 	865037 	867770 	871048 	876146 	882649 	888286 	894731 b	901907 	910394 	919161 	927338 	934839 	941664 	946231 	950371 	954707 	959124 	964861 	969981 	983596 
A,NR,F,TOTAL,CH03	: 	467607 	476371 	479980 	484763 	495088 	498149 	500051 	501013 	501840 	503889 	505822 	508843 	512416 	515595 	518303 	519991 	522590 	526797 	532994 	538399 	542937 b	547102 	552402 	558511 	564458 	569614 	575438 	580247 	584677 	589537 	594574 	599462 	604304 	615879 
A,NR,F,TOTAL,CH04	: 	590398 	592832 	595731 	597600 	600625 	604107 	605422 	606490 	609128 	614046 	619832 	627011 	633934 	638039 	643443 	648261 	653746 	663946 	675108 	683799 	694284 b	703352 	710721 	718749 	728652 	737907 	748155 	756070 	763887 	772596 	779124 	784417 	791121 	804516 
A,NR,F,TOTAL,CH05	: 	492431 	502383 	508730 	515100 	520139 	523130 	524845 	524690 	525991 	527617 	528474 	529932 	532474 	534879 	536135 	537246 	538364 	541766 	546424 	550212 	554127 b	558584 	562573 	567461 	572063 	576024 	579742 	582932 	586261 	589627 	594114 	599070 	604873 	615025 
A,NR,F,TOTAL,CH06	: 	306473 	313953 	319322 	323718 	327576 	331263 	333703 	336086 	337824 	340575 	343639 	346137 	349023 	351117 	353214 	355400 	357910 	361901 	366574 	369793 	374210 b	377711 	381477 	385452 	389051 	392879 	396667 	399951 	403287 	406229 	409493 	413125 	416691 	423636 
A,NR,F,TOTAL,CH07	: 	150747 	151576 	153565 	155588 	157688 	159203 	159114 	159506 	159881 	161079 	161898 	163929 	165106 	165959 	167081 	168051 	169248 	170924 	172722 	174180 	171862 b	173533 	175779 	178093 	179822 	180480 	181498 	181204 	181151 	180350 	180156 	180732 	181686 	183561 
A,NR,F,TOTAL,CY	287064 	294656 	302814 	310701 	318440 	325432 	331524 	337118 	342190 	346537 	350842 	354797 	359361 	363583 	368331 	373746 	379431 	386402 	395875 	407004 	419535 	430993 	443018 	444842 	440462 	435183 	435627 	438139 	442728 	448068 	453534 	458357 	463622 	483955 b	490771 
A,NR,F,TOTAL,CY0	287064 	294656 	302814 	310701 	318440 	325432 	331524 	337118 	342190 	346537 	350842 	354797 	359361 	363583 	368331 	373746 	379431 	386402 	395875 	407004 	419535 b	430993 	443018 	444842 	440462 	435183 	435627 	438139 	442728 	448068 	453534 	458357 	463622 	483955 b	490771 
A,NR,F,TOTAL,CY00	287064 	294656 	302814 	310701 	318440 	325432 	331524 	337118 	342190 	346537 	350842 	354797 	359361 	363583 	368331 	373746 	379431 	386402 	395875 	407004 	419535 b	430993 	443018 	444842 	440462 	435183 	435627 	438139 	442728 	448068 	453534 	458357 	463622 	483955 b	490771 
