freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,T,Y45-49,BG31	69696 	70925 	74856 	77832 	80515 	82344 	84647 	81609 	79536 	76673 	73950 	70726 	68852 	67491 	66268 	64724 	63048 	61876 	60545 	59370 	57993 	55970 	54219 	51676 	51328 	52684 	53738 	54711 	54798 	54180 	52682 	51502 	49898 	48911 	47396 
A,NR,T,Y45-49,BG32	73550 	74808 	76653 	77333 	79047 	81205 	82180 	79973 	78564 	77072 	75247 	73341 	70753 	69491 	67900 	65831 	63603 	62339 	61502 	60964 	60319 	59044 	57228 	54170 	53491 	54555 	54701 	55265 	55139 	54237 	53447 	53392 	53183 	53208 	52089 
A,NR,T,Y45-49,BG33	69150 	69968 	71800 	72064 	74615 	76779 	78769 	77468 	77163 	75823 	74425 	72537 	72052 	71353 	70039 	68924 	67736 	67291 	67196 	66914 	66428 	65335 	63768 	59626 	59520 	61004 	62679 	64283 	65114 	65148 	65445 	65879 	66372 	67300 	66598 
A,NR,T,Y45-49,BG34	74440 	74264 	77272 	79190 	83376 	87068 	90613 	90045 	90751 	89374 	88252 	86173 	84368 	83604 	82206 	80766 	79477 	78254 	77350 	76083 	75277 	73342 	71151 	67221 	66472 	67649 	68344 	69510 	70158 	70730 	71347 	72053 	73333 	74267 	73688 
A,NR,T,Y45-49,BG4	239929 	241865 	252886 	256360 	264455 	276476 	287014 	283075 	284714 	284119 	279794 	273253 	267945 	267931 	266677 	264896 	262275 	259201 	254798 	251031 	248219 	242808 	237519 	229265 	228954 	235632 	240516 	245313 	247832 	249932 	251178 	254013 	260165 	265201 	266531 
A,NR,T,Y45-49,BG41	134005 	136445 	144431 	148841 	153765 	160369 	166620 	165059 	165179 	164057 	161486 	157332 	153162 	151922 	150317 	148137 	146380 	145000 	142960 	141575 	140788 	138167 	135764 	133074 	133815 	139134 	143690 	147889 	150503 	153102 	155858 	158387 	163610 	167750 	168480 
A,NR,T,Y45-49,BG42	105924 	105420 	108455 	107519 	110690 	116107 	120394 	118016 	119535 	120062 	118308 	115921 	114783 	116009 	116360 	116759 	115895 	114201 	111838 	109456 	107431 	104641 	101755 	96191 	95139 	96498 	96826 	97424 	97329 	96830 	95320 	95626 	96555 	97451 	98051 
A,NR,T,Y45-49,CH	460499 	476293 	491243 	499293 	505264 	506658 	508200 	501924 	499266 	496242 	498103 	501092 	512170 	523240 	535898 	549302 	563114 	576336 	593053 	614756 	634893 	650915 	662507 	667709 	668254 	662100 	654245 	644679 	633596 	620649 	610169 	601859 	595385 	595240 	603554 
A,NR,T,Y45-49,CH0	460499 	476526 	491243 	499293 	505264 	506658 	508200 	501924 	499266 	496242 	498103 	501092 	512170 	523240 	535898 	549302 	563114 	576336 	593053 	614756 	634893 	650915 	662507 	667709 	668254 	662100 	654245 	644679 	633596 	620649 	610169 	601859 	595385 	595240 	603554 
A,NR,T,Y45-49,CH01	: 	88789 	92562 	93913 	94709 	94083 	93572 	91445 	89524 	88157 	88078 	88580 	89968 	92743 	95519 	98553 	101402 	104135 	107279 	111725 	115639 	119348 	122092 	122894 	122935 	122009 	121424 	120628 	120921 	120846 	121326 	121244 	120687 	120605 	122055 
A,NR,T,Y45-49,CH02	: 	108294 	113473 	116103 	118440 	117851 	118216 	116756 	115927 	115162 	115532 	115703 	118537 	120491 	123137 	125728 	128443 	130607 	133589 	137370 	140630 	143415 	144935 	145943 	146086 	144663 	142951 	140778 	137862 	133977 	130734 	127737 	125256 	124284 	125306 
A,NR,T,Y45-49,CH03	: 	66813 	68706 	69096 	69837 	71137 	71513 	70735 	70886 	70569 	70787 	71514 	73274 	74696 	76464 	78015 	79886 	81444 	83147 	85664 	88626 	90403 	91766 	92291 	92493 	91239 	89668 	87941 	85655 	83179 	81592 	80610 	79982 	79991 	81724 
A,NR,T,Y45-49,CH04	: 	88090 	90084 	90571 	90221 	89567 	88968 	87368 	86743 	85899 	85953 	86263 	87681 	89064 	90699 	92708 	94960 	97461 	100935 	105550 	109656 	112940 	115597 	117413 	117919 	117627 	117076 	116069 	114340 	112761 	111752 	111137 	111022 	112036 	114734 
A,NR,T,Y45-49,CH05	: 	63409 	64464 	66151 	67576 	68673 	69786 	69820 	70130 	70459 	71192 	71755 	73692 	75342 	77164 	79096 	80818 	82654 	85348 	88204 	90590 	92355 	93414 	93320 	92827 	91340 	89517 	87234 	84459 	81727 	79232 	77301 	76129 	76736 	77978 
A,NR,T,Y45-49,CH06	: 	39655 	40240 	41441 	42315 	43116 	43987 	44134 	44666 	44846 	45539 	46211 	47695 	49191 	50942 	52564 	54348 	56049 	57941 	60101 	62368 	64179 	65486 	66017 	65786 	64965 	63786 	62522 	61357 	59792 	58034 	57122 	56379 	56168 	56924 
A,NR,T,Y45-49,CH07	: 	21476 	21714 	22018 	22166 	22231 	22158 	21666 	21390 	21150 	21022 	21066 	21323 	21713 	21973 	22638 	23257 	23986 	24814 	26142 	27384 	28275 	29217 	29831 	30208 	30257 	29823 	29507 	29002 	28367 	27499 	26708 	25930 	25420 	24833 
A,NR,T,Y45-49,CY	32833 	34388 	36069 	37811 	39027 	40141 	41166 	42099 	43052 	43844 	44545 	45181 	46563 	47864 	49578 	51441 	53178 	54469 	55629 	56480 	57128 	57355 	57888 	57551 	56689 	54960 	54099 	53119 	53431 	54054 	53029 	53537 	55296 	63198 b	64752 
A,NR,T,Y45-49,CY0	32833 	34388 	36069 	37811 	39027 	40141 	41166 	42099 	43052 	43844 	44545 	45181 	46563 	47864 	49578 	51441 	53178 	54469 	55629 	56480 	57128 	57355 	57888 	57551 	56689 	54960 	54099 	53119 	53431 	54054 	53029 	53537 	55296 	63198 b	64752 
A,NR,T,Y45-49,CY00	32833 	34388 	36069 	37811 	39027 	40141 	41166 	42099 	43052 	43844 	44545 	45181 	46563 	47864 	49578 	51441 	53178 	54469 	55629 	56480 	57128 	57355 	57888 	57551 	56689 	54960 	54099 	53119 	53431 	54054 	53029 	53537 	55296 	63198 b	64752 
A,NR,T,Y45-49,CZ	663525 	677914 	723896 	770309 	793959 	807808 	832274 	827336 	816333 	807963 	803947 	792214 	777394 	759943 	736728 	704445 	676252 	652996 	641920 	654521 	679669 	696050 	705709 	710290 	699388 	692290 	696832 	713002 	741070 	787035 	839278 	865593 b	899597 	939749 	946120 
A,NR,T,Y45-49,CZ0	663525 	677914 	723896 	770309 	793961 	807808 	832274 	827336 	816333 	807963 	803947 	792214 	777394 	759943 	736728 	704445 	676252 	652996 	641920 	654521 	679669 	696050 	705709 	710290 	699388 	692290 	696832 	713002 	741070 	787035 	839278 	865593 b	899597 	939749 	946120 
A,NR,T,Y45-49,CZ01	: 	: 	101167 	106892 	107717 	106302 	106329 	102925 	100706 	98819 	97852 	94228 	90367 	86453 	82343 	77270 	73798 	71208 	71538 	74710 	79282 	81821 	83506 	84244 	81926 	81150 	81888 	84631 	88196 	94375 	102314 	102354 b	108408 	118052 	122545 
A,NR,T,Y45-49,CZ02	: 	: 	79246 	85011 	87615 	89654 	91943 	91146 	89877 	89046 	88640 	88046 	86864 	84779 	81894 	77960 	74900 	72503 	72049 	74258 	78367 	81645 	83786 	85671 	85910 	86250 	88335 	92119 	97001 	104564 	113245 	118671 b	124863 	132247 	134882 
A,NR,T,Y45-49,CZ03	: 	: 	81400 	87012 	89896 	91613 	94067 	93338 	92203 	91985 	92174 	92205 	91405 	90010 	87271 	83574 	79978 	76974 	75106 	76320 	78458 	79827 	80609 	80956 	79838 	79194 	79878 	81307 	84692 	90176 	96342 	99234 b	103392 	108692 	109334 
A,NR,T,Y45-49,CZ04	: 	: 	77477 	84364 	89194 	92538 	97459 	97538 	94982 	92844 	91201 	88419 	85670 	83386 	80540 	76495 	73128 	69930 	68582 	69944 	73053 	75218 	76724 	77449 	76148 	75209 	75617 	77337 	80511 	85446 	90702 	92736 b	95142 	97250 	96132 
A,NR,T,Y45-49,CZ05	: 	: 	102652 	110530 	114948 	117463 	122228 	121494 	120008 	118624 	118005 	115877 	113255 	109724 	105444 	99975 	95354 	91575 	89579 	91064 	94260 	96641 	97955 	98393 	97237 	96721 	97800 	100665 	105165 	112068 	119461 	123645 b	128108 	133086 	132955 
A,NR,T,Y45-49,CZ06	: 	: 	113029 	119003 	121833 	123576 	126731 	125646 	124568 	123687 	123611 	122951 	122015 	120330 	118177 	114666 	110378 	106956 	104660 	105837 	108944 	111083 	112074 	112664 	111058 	109732 	110066 	111989 	115742 	122225 	129713 	135188 b	140716 	146887 	147908 
A,NR,T,Y45-49,CZ07	: 	: 	82124 	86839 	89822 	91912 	94739 	94974 	94421 	94136 	94395 	94209 	93174 	91899 	89670 	86161 	83105 	80627 	78639 	79580 	81423 	82475 	82726 	82734 	81123 	80028 	79980 	81182 	84271 	88800 	94131 	98231 b	101552 	104277 	104013 
A,NR,T,Y45-49,CZ08	: 	: 	86801 	90658 	92936 	94750 	98778 	100275 	99568 	98822 	98069 	96279 	94644 	93362 	91389 	88344 	85611 	83223 	81767 	82808 	85882 	87340 	88329 	88179 	86148 	84006 	83268 	83772 	85492 	89381 	93370 	95534 b	97416 	99258 	98351 
A,NR,T,Y45-49,DE	5657223 	5104160 	4714815 	4661530 	4625798 	4698053 	5068893 	5331281 	5495493 	5599608 	5660794 	5704307 	5793192 	5889832 	6012569 	6167489 	6349005 	6532006 	6707543 	6894046 	7023310 	6966174 b	6998760 	6978201 	6881594 	6722424 	6523704 	6259912 	5943287 	5584519 	5273358 	5035860 	4864404 	4832604 b	4897022 
A,NR,T,Y45-49,DE1	679050 	619787 	580621 	577725 	579491 	591134 	634053 	661403 	677857 	686153 	692696 	702059 	722880 	742127 	765666 	791119 	820486 	846567 	873085 	900131 	922315 	899756 	907695 	909624 	902460 	886476 	865187 	832891 	796428 	752246 	715681 	686747 	666110 	657030 b	661229 
A,NR,T,Y45-49,DE11	268212 	245914 	230198 	227424 	225843 	227403 	240854 	248914 	252490 	253322 	255233 	258474 	266518 	273089 	281994 	291071 	301300 	309888 	319549 	329263 	337630 	333533 	337339 	338899 	337466 	332694 	326119 	315144 	302965 	287573 	274876 	264575 	256832 	252474 b	253944 
A,NR,T,Y45-49,DE12	175682 	159843 	149940 	150726 	152412 	156316 	167509 	175152 	178737 	180093 	180382 	182625 	186935 	191928 	197676 	204248 	211798 	219484 	226605 	233700 	239468 	229916 	231243 	231244 	229371 	224660 	218959 	210686 	200594 	188714 	178950 	171194 	166022 	164577 b	165853 
A,NR,T,Y45-49,DE13	129429 	117768 	109721 	109153 	109869 	113183 	123210 	130425 	136127 	139881 	142169 	144363 	148581 	152683 	157228 	162539 	168726 	174449 	179981 	185425 	189834 	185283 	186514 	186562 	184443 	180713 	175445 	167889 	159605 	150083 	141862 	135781 	131912 	130498 b	131596 
A,NR,T,Y45-49,DE14	105727 	96262 	90762 	90422 	91367 	94232 	102480 	106912 	110503 	112857 	114912 	116597 	120846 	124427 	128768 	133261 	138662 	142746 	146950 	151743 	155383 	151024 	152599 	152919 	151180 	148409 	144664 	139172 	133264 	125876 	119993 	115197 	111344 	109481 b	109836 
A,NR,T,Y45-49,DE2	795421 	724533 	688005 	699147 	704908 	717150 	766629 	786494 	793871 	798237 	805161 	813365 	834632 	856954 	885159 	915747 	950663 	984549 	1014930 	1044898 	1068420 	1072947 	1084112 	1090798 	1086255 	1069460 	1043927 	1007116 	959682 	906380 	860242 	825994 	801752 	791357 b	798375 
A,NR,T,Y45-49,DE21	301928 	280299 	266113 	266815 	263958 	262154 	272586 	272723 	268547 	264999 	263724 	264752 	270813 	277884 	287793 	298249 	309955 	323384 	335905 	348809 	360727 	368081 	377548 	385492 	388261 	385199 	377739 	365516 	347898 	329494 	314627 	304531 	296799 	296266 b	298640 
A,NR,T,Y45-49,DE22	64373 	58369 	56466 	58666 	60661 	63958 	70269 	73444 	75653 	77390 	79028 	80213 	82657 	85256 	88228 	91614 	95290 	98459 	100876 	103319 	104102 	103093 	102917 	102738 	101631 	100316 	98553 	95727 	92251 	87755 	83671 	79854 	77473 	75288 b	75647 
A,NR,T,Y45-49,DE23	61243 	54487 	51665 	53153 	54801 	57282 	63382 	66850 	69521 	71390 	73012 	73986 	75888 	78059 	80353 	83203 	86385 	89360 	91708 	93880 	95616 	94950 	95141 	94596 	93358 	91043 	88735 	85593 	82109 	77714 	73334 	69942 	67200 	65854 b	66225 
A,NR,T,Y45-49,DE24	67513 	59813 	56459 	58417 	60043 	62097 	67838 	71015 	72373 	73265 	74288 	75134 	76687 	78626 	80978 	83752 	86634 	89288 	91245 	93194 	94189 	94267 	93391 	92645 	91271 	88926 	86272 	83138 	78941 	73670 	68699 	64643 	61742 	59731 b	59871 
A,NR,T,Y45-49,DE25	111766 	101445 	96012 	98126 	99039 	100296 	106602 	109806 	110872 	111316 	112803 	114588 	117240 	119965 	123866 	127693 	132317 	136418 	139992 	143521 	146456 	144670 	145866 	146742 	145718 	143190 	139873 	134764 	128101 	120767 	114424 	109877 	107283 	106852 b	108637 
A,NR,T,Y45-49,DE26	76589 	68086 	64297 	66332 	68569 	71893 	79939 	84296 	87445 	89512 	91030 	91701 	94431 	96457 	99012 	101687 	105512 	108761 	112008 	114669 	116477 	114830 	114451 	113414 	111186 	108040 	103774 	98779 	93172 	87304 	82053 	78262 	75426 	73651 b	74317 
A,NR,T,Y45-49,DE27	112009 	102034 	96993 	97638 	97837 	99470 	106013 	108360 	109460 	110365 	111276 	112991 	116916 	120707 	124929 	129549 	134570 	138879 	143196 	147506 	150853 	153056 	154798 	155171 	154830 	152746 	148981 	143599 	137210 	129676 	123434 	118885 	115829 	113715 b	115038 
A,NR,T,Y45-49,DE3	284818 	263614 	235749 	225736 	215399 	212087 	225067 	238615 	241425 	241959 	239890 	235674 	235107 	235887 	238122 	244456 	252935 	263823 	276682 	290290 	298933 	282244 	284718 	282225 	276806 	268679 	259552 	250725 	240517 	228955 	220620 	214868 	211183 	214209 b	221544 
A,NR,T,Y45-49,DE30	284818 	263614 	235749 	225736 	215399 	212087 	225067 	238615 	241425 	241959 	239890 	235674 	235107 	235887 	238122 	244456 	252935 	263823 	276682 	290290 	298933 	282244 	284718 	282225 	276806 	268679 	259552 	250725 	240517 	228955 	220620 	214868 	211183 	214209 b	221544 
A,NR,T,Y45-49,DE4	187065 	161053 	134294 	126500 	119050 	119243 	135822 	158838 	174548 	190237 	201845 	207704 	210066 	211536 	213164 	218157 	223531 	230976 	238738 	245657 	247189 	240277 	234859 	226365 	215241 	204262 	194440 	185499 	174883 	163732 	153836 	146470 	141037 	144420 b	151740 
A,NR,T,Y45-49,DE40	187065 	161053 	134294 	126500 	119050 	119243 	135822 	158838 	174548 	190237 	201845 	207704 	210066 	211536 	213164 	218157 	223531 	230976 	238738 	245657 	247189 	240277 	234859 	226365 	215241 	204262 	194440 	185499 	174883 	163732 	153836 	146470 	141037 	144420 b	151740 
A,NR,T,Y45-49,DE5	50827 	46872 	44611 	43556 	42686 	42744 	44591 	44837 	44910 	44626 	44136 	44149 	44472 	45164 	46082 	46935 	47647 	48382 	49401 	50199 	51157 	52057 	52992 	53218 	53114 	52239 	50722 	48706 	46575 	43955 	41595 	40182 	38853 	39647 b	40236 
A,NR,T,Y45-49,DE50	50827 	46872 	44611 	43556 	42686 	42744 	44591 	44837 	44910 	44626 	44136 	44149 	44472 	45164 	46082 	46935 	47647 	48382 	49401 	50199 	51157 	52057 	52992 	53218 	53114 	52239 	50722 	48706 	46575 	43955 	41595 	40182 	38853 	39647 b	40236 
A,NR,T,Y45-49,DE6	129179 	119774 	112952 	110272 	108095 	106475 	109833 	110128 	109113 	106734 	105766 	105606 	107284 	109298 	113129 	116396 	122267 	127253 	132675 	138043 	143217 	138305 	142420 	145520 	146381 	144393 	141757 	137078 	131729 	125082 	120743 	117904 	116403 	116637 b	119132 
A,NR,T,Y45-49,DE60	129179 	119774 	112952 	110272 	108095 	106475 	109833 	110128 	109113 	106734 	105766 	105606 	107284 	109298 	113129 	116396 	122267 	127253 	132675 	138043 	143217 	138305 	142420 	145520 	146381 	144393 	141757 	137078 	131729 	125082 	120743 	117904 	116403 	116637 b	119132 
A,NR,T,Y45-49,DE7	414142 	377872 	357442 	362226 	365631 	372685 	400002 	414233 	418493 	418020 	416692 	417362 	422390 	430513 	440762 	453630 	467421 	479482 	492853 	508089 	520537 	518634 	525640 	527777 	524537 	516075 	502397 	482878 	460241 	433961 	412545 	395838 	384111 	377286 b	380446 
A,NR,T,Y45-49,DE71	271975 	251144 	238062 	240109 	240500 	242270 	256709 	263615 	264467 	262207 	259829 	259452 	261718 	266479 	272440 	280582 	289414 	296963 	306096 	317067 	326493 	325478 	332906 	336710 	336913 	333045 	325290 	313055 	299066 	282877 	270426 	261259 	254515 	251935 b	254628 
A,NR,T,Y45-49,DE72	62248 	55556 	52287 	53642 	55288 	57935 	64208 	67948 	69747 	70896 	71680 	72111 	73467 	75332 	77501 	79926 	82721 	85630 	87866 	90392 	92451 	88902 	88212 	87449 	85466 	83237 	80452 	77057 	73030 	68490 	64662 	61585 	59591 	58031 b	58580 
A,NR,T,Y45-49,DE73	79919 	71172 	67093 	68475 	69843 	72480 	79085 	82670 	84279 	84917 	85183 	85799 	87205 	88702 	90821 	93122 	95286 	96889 	98891 	100630 	101593 	104254 	104522 	103618 	102158 	99793 	96655 	92766 	88145 	82594 	77457 	72994 	70005 	67320 b	67238 
A,NR,T,Y45-49,DE8	126089 	107939 	90333 	85951 	82867 	85256 	98125 	113880 	124263 	133908 	141451 	145143 	146537 	146853 	147079 	148347 	150609 	153468 	155975 	157848 	156962 	149708 	144199 	137311 	129429 	121776 	115213 	109491 	103240 	96622 	91071 	86717 	83907 	84574 b	89170 
A,NR,T,Y45-49,DE80	126089 	107939 	90333 	85951 	82867 	85256 	98125 	113880 	124263 	133908 	141451 	145143 	146537 	146853 	147079 	148347 	150609 	153468 	155975 	157848 	156962 	149708 	144199 	137311 	129429 	121776 	115213 	109491 	103240 	96622 	91071 	86717 	83907 	84574 b	89170 
A,NR,T,Y45-49,DE9	517238 	465129 	436345 	432655 	433877 	445833 	484030 	501771 	516296 	521564 	523888 	526553 	535721 	546856 	561365 	578863 	599269 	619201 	636615 	655839 	669999 	675329 	683416 	686713 	681749 	669404 	651124 	622028 	586923 	548335 	513387 	485939 	466312 	456093 b	456875 
A,NR,T,Y45-49,DE91	113725 	102465 	94544 	93299 	92787 	94784 	102235 	106606 	109423 	110292 	110861 	111663 	113436 	115086 	118102 	121552 	125498 	129146 	132527 	135428 	137184 	135207 	135893 	135552 	134131 	131014 	127422 	121284 	114229 	106324 	99224 	93522 	89817 	88540 b	88982 
A,NR,T,Y45-49,DE92	150559 	135588 	126163 	124345 	123257 	124950 	134278 	138716 	142114 	142874 	143123 	143599 	146177 	149253 	152924 	157500 	162526 	167381 	171509 	176590 	180309 	181079 	183714 	184391 	183418 	180238 	174908 	166114 	156673 	145900 	136340 	129665 	125000 	121355 b	122178 
A,NR,T,Y45-49,DE93	110334 	99628 	94045 	93361 	94091 	96814 	105195 	109018 	111942 	112968 	113147 	113037 	114507 	116909 	119435 	123322 	128168 	132658 	136785 	141728 	145365 	149293 	151225 	152571 	151354 	148548 	144038 	137750 	129012 	120126 	112411 	106139 	101321 	98854 b	99194 
A,NR,T,Y45-49,DE94	142620 	127448 	121593 	121650 	123742 	129285 	142322 	147431 	152817 	155430 	156757 	158254 	161601 	165608 	170904 	176489 	183077 	190016 	195794 	202093 	207141 	209750 	212584 	214199 	212846 	209604 	204756 	196880 	187009 	175985 	165412 	156613 	150174 	147344 b	146521 
A,NR,T,Y45-49,DEA	1205789 	1093131 	1027322 	1017996 	1017608 	1037456 	1108573 	1148219 	1180186 	1196065 	1207723 	1222113 	1250293 	1279455 	1312616 	1347065 	1386647 	1420887 	1451469 	1487149 	1515383 	1520137 	1536988 	1541531 	1526882 	1495458 	1448977 	1382085 	1304316 	1218039 	1142082 	1087324 	1048764 	1041646 b	1046165 
A,NR,T,Y45-49,DEA1	379847 	344908 	323324 	318817 	317418 	320136 	337697 	347165 	354608 	356459 	358303 	361254 	368478 	375394 	384934 	393545 	404026 	412742 	420875 	430641 	438886 	443242 	448197 	449559 	444886 	435811 	421797 	402154 	378985 	353468 	331529 	315714 	304029 	303827 b	305538 
A,NR,T,Y45-49,DEA2	290031 	264597 	249286 	247463 	246032 	249850 	266020 	275122 	281727 	284925 	287322 	289953 	297252 	305405 	314839 	325307 	337312 	348660 	359115 	370702 	379732 	371851 	377792 	380758 	378601 	371689 	360388 	344017 	324844 	303741 	285685 	272995 	264423 	262821 b	264581 
A,NR,T,Y45-49,DEA3	156906 	142039 	135067 	135549 	137125 	142273 	154071 	160369 	166387 	170519 	173439 	176637 	181457 	186216 	190765 	196136 	201847 	206837 	210797 	216036 	220085 	224348 	226683 	228017 	225946 	221220 	214317 	204718 	192743 	179761 	168259 	160214 	154140 	151514 b	152481 
A,NR,T,Y45-49,DEA4	123473 	110176 	103157 	102349 	102539 	105472 	115418 	120961 	125550 	128496 	130585 	133389 	137113 	141332 	145609 	150566 	155390 	159525 	163156 	166772 	168789 	173140 	174141 	174114 	172110 	168312 	163637 	156281 	147879 	138612 	130560 	124334 	119913 	119063 b	119005 
A,NR,T,Y45-49,DEA5	255532 	231411 	216488 	213818 	214494 	219725 	235367 	244602 	251914 	255666 	258074 	260880 	265993 	271108 	276469 	281511 	288072 	293123 	297526 	302998 	307891 	307556 	310175 	309083 	305339 	298426 	288838 	274915 	259865 	242457 	226049 	214067 	206259 	204421 b	204560 
A,NR,T,Y45-49,DEB	245792 	220050 	205287 	205749 	209681 	220835 	244477 	260912 	274442 	282610 	284913 	286442 	291541 	297657 	303667 	311529 	320662 	329046 	335443 	343230 	347661 	354631 	354188 	351209 	344705 	335250 	323639 	308118 	290926 	271671 	255172 	243148 	234062 	232322 b	234652 
A,NR,T,Y45-49,DEB1	90436 	80497 	75663 	76309 	77955 	82627 	91601 	97329 	102059 	105216 	106046 	106685 	108335 	110491 	112465 	115287 	118316 	121325 	123417 	126098 	127634 	132951 	132841 	131550 	128855 	124810 	120101 	113902 	107084 	99353 	92972 	88079 	84455 	84511 b	85249 
A,NR,T,Y45-49,DEB2	28387 	24984 	22763 	22895 	23884 	25694 	28809 	31310 	33387 	34644 	35474 	35859 	36502 	37101 	37958 	38432 	39250 	40290 	41241 	42417 	43300 	45804 	45871 	45407 	44527 	43123 	41710 	39481 	37618 	35427 	33426 	32082 	31055 	29994 b	30384 
A,NR,T,Y45-49,DEB3	126969 	114569 	106861 	106545 	107842 	112514 	124067 	132273 	138996 	142750 	143393 	143898 	146704 	150065 	153244 	157810 	163096 	167431 	170785 	174715 	176727 	175876 	175476 	174252 	171323 	167317 	161828 	154735 	146224 	136891 	128774 	122987 	118552 	117817 b	119019 
A,NR,T,Y45-49,DEC	70768 	63026 	56852 	56286 	58277 	61887 	68406 	73876 	77786 	79057 	79046 	79212 	80509 	81859 	83548 	85276 	86908 	88367 	89252 	89906 	89799 	89458 	88117 	86348 	83884 	80499 	76588 	72278 	67503 	62207 	57911 	54909 	52675 	54222 b	54855 
A,NR,T,Y45-49,DEC0	70768 	63026 	56852 	56286 	58277 	61887 	68406 	73876 	77786 	79057 	79046 	79212 	80509 	81859 	83548 	85276 	86908 	88367 	89252 	89906 	89799 	89458 	88117 	86348 	83884 	80499 	76588 	72278 	67503 	62207 	57911 	54909 	52675 	54222 b	54855 
A,NR,T,Y45-49,DED	353306 	313626 	271578 	259519 	243229 	239316 	264304 	298821 	318953 	337280 	343253 	340861 	333008 	326209 	321368 	321641 	322621 	328267 	335049 	342534 	344566 	332649 	326011 	316359 	303869 	291723 	283038 	275694 	264656 	251763 	239402 	228216 	219128 	225205 b	235967 
A,NR,T,Y45-49,DED2	: 	: 	: 	: 	: 	88486 	96714 	109510 	116819 	123919 	127184 	127284 	125082 	123304 	122304 	123049 	124178 	127157 	130222 	133682 	135033 	130753 	128256 	124346 	118914 	113658 	109961 	106862 	102787 	98184 	93871 	90180 	87394 	90631 b	94725 
A,NR,T,Y45-49,DED4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122096 	118913 	114733 	109934 	105124 	101884 	99068 	94764 	89880 	84927 	80166 	75521 	76081 b	78845 
A,NR,T,Y45-49,DED5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79800 	78842 	77280 	75021 	72941 	71193 	69764 	67105 	63699 	60604 	57870 	56213 	58493 b	62397 
A,NR,T,Y45-49,DEE	210386 	183456 	160084 	152109 	144825 	144732 	159461 	175075 	186812 	197688 	203024 	204201 	203406 	200828 	198772 	199139 	199808 	203054 	206400 	209775 	209612 	203067 	197176 	190240 	181635 	173750 	167130 	161567 	152777 	142357 	131907 	122063 	113731 	112668 b	116802 
A,NR,T,Y45-49,DEE0	210386 	183456 	160084 	152109 	144825 	144732 	159461 	175075 	186812 	197688 	203024 	204201 	203406 	200828 	198772 	199139 	199808 	203054 	206400 	209775 	209612 	203067 	197176 	190240 	181635 	173750 	167130 	161567 	152777 	142357 	131907 	122063 	113731 	112668 b	116802 
A,NR,T,Y45-49,DEF	202723 	184346 	171866 	169128 	167401 	167449 	176749 	179940 	181470 	180552 	180744 	181285 	183203 	187514 	192439 	198292 	205777 	214165 	221907 	230640 	238519 	246736 	251887 	255537 	255384 	251212 	243387 	232529 	217418 	201248 	186988 	177579 	170805 	168982 b	170382 
A,NR,T,Y45-49,DEF0	202723 	184346 	171866 	169128 	167401 	167449 	176749 	179940 	181470 	180552 	180744 	181285 	183203 	187514 	192439 	198292 	205777 	214165 	221907 	230640 	238519 	246736 	251887 	255537 	255384 	251212 	243387 	232529 	217418 	201248 	186988 	177579 	170805 	168982 b	170382 
A,NR,T,Y45-49,DEG	184635 	159932 	141490 	136946 	132779 	133771 	148771 	164239 	175068 	184919 	190566 	192578 	192143 	191122 	189631 	190897 	191754 	194519 	197069 	199818 	199041 	190239 	184342 	177426 	169263 	161768 	156626 	151229 	145473 	137966 	130176 	121962 	115571 	116306 b	119452 
A,NR,T,Y45-49,DEG0	184635 	159932 	141490 	136946 	132779 	133771 	148771 	164239 	175068 	184919 	190566 	192578 	192143 	191122 	189631 	190897 	191754 	194519 	197069 	199818 	199041 	190239 	184342 	177426 	169263 	161768 	156626 	151229 	145473 	137966 	130176 	121962 	115571 	116306 b	119452 
A,NR,T,Y45-49,DK	352128 	374762 	397975 	410882 	414419 	407605 	398192 	383475 	372812 	368572 	366867 	366152 	368729 	369512 	369168 	369893 	372440 	374298 	379282 	388735 	399835 	409904 	422591 	427351 	422425 	413604 	403639 	393841 	391089 	390083 	391889 	395004 	389706 	382173 	377233 
A,NR,T,Y45-49,DK0	352128 	374762 	397975 	410882 	414419 	407605 	398192 	383475 	372812 	368572 	366867 	366152 	368729 	369512 	369168 	369893 	372440 	374298 	379282 	388735 	399835 	409904 	422591 	427351 	422425 	413604 	403639 	393841 	391089 	390083 	391889 	395004 	389706 	382173 	377233 
A,NR,T,Y45-49,DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108334 	110550 	114532 	119127 	123505 	128390 	131062 	130251 	127845 	124911 	122565 	122340 	122963 	125481 	127566 	126392 	124545 	123715 
